Title,url
下視丘- 維基百科，自由的百科全書 - Wikipedia,https://zh.wikipedia.org/zh-tw/%E4%B8%8B%E4%B8%98%E8%84%91
下視丘(hypothalamus) - 小小整理網站Smallcollation,https://smallcollation.blogspot.com/2013/03/head-and-neck-hypothalamus.html
財團法人罕見疾病基金會,http://www.tfrd.org.tw/tfrd/rare_b/view/id/82
神經內分泌—下視丘與腦垂腺,http://163.28.10.78/content/senior/bio/tc_md/sa/sa3/neuro_endocr.htm
下視丘(hypothalamus)的生理機能@ Kasumi的學習記錄:: 痞客邦::,https://kasumi01.pixnet.net/blog/post/32034917
發生在各年齡層的– 腦下垂體腫瘤（懶人包） - 照護線上,https://www.careonline.com.tw/2018/05/pituitary-tumor.html
視丘與下視丘 - 彩光活力部落格彩光活力 - 痞客邦,http://ylnova.pixnet.net/blog/post/252202013
下視丘，腦垂腺，腎上腺軸| 科學Online,http://highscope.ch.ntu.edu.tw/wordpress/?tag=%E4%B8%8B%E8%A6%96%E4%B8%98%EF%BC%8C%E8%85%A6%E5%9E%82%E8%85%BA%EF%BC%8C%E8%85%8E%E4%B8%8A%E8%85%BA%E8%BB%B8
探討Orexin於下視丘背中核之作用是否參與心血管功能調節 ...,https://tmu.pure.elsevier.com/zh/projects/roles-of-orexinergic-activity-within-the-dorsomedial-hypothalamus
9 4 4內分泌系統總覽+下視丘與腦垂腺三敏- YouTube,https://www.youtube.com/watch?v=O8RJ7A15mhA
認識神經系統,http://www.mmh.org.tw/taitam/pedia/encyclopedia/book14-1.htm
內分泌系統,http://lms.tajen.edu.tw/sys/read_attach.php?id=32423
下視丘@ Maximilian's Triumph Tiger :: 隨意窩Xuite日誌,https://blog.xuite.net/maximilian_wang/twblog/141216207-%E4%B8%8B%E8%A6%96%E4%B8%98
健康檢查－確保健康之不二法門,http://www.kmuh.org.tw/www/kmcj/data/10601/4.htm
下視丘- 康健雜誌,https://www.commonhealth.com.tw/search?keyword=%E4%B8%8B%E8%A6%96%E4%B8%98
腦的美麗境界Wonderful Brain - 精神健康基金會,http://www.brainlohas.org/wonderfulbrain/guide_b.htm
月經週期: 下視丘對腦垂腺前葉的調控,http://moodle2.thsh.tp.edu.tw/mod/page/view.php?id=2055
hypothalamus - 下視丘 - 國家教育研究院雙語詞彙,http://terms.naer.edu.tw/detail/3283710/
下視丘| Heho生活,https://lifestyle.heho.com.tw/archives/tag/%E4%B8%8B%E8%A6%96%E4%B8%98
下視丘前葉-阿摩線上測驗,https://yamol.tw/tfulltext-%E4%B8%8B%E8%A6%96%E4%B8%98%E5%89%8D%E8%91%89.htm
女性荷爾蒙-深入淺談,https://www.ucl.com.tw/uploadinfo/knowledge/%E8%8D%B7%E7%88%BE%E8%92%99%E6%B7%B1%E5%85%A5%E6%B7%BA%E8%AB%871.pdf
搞懂內分泌系統―別讓荷爾蒙作怪！ - hocom.tw,https://hocom.tw/web/Home/DataDetail?key=28307311&cont=12021
腦科學：前額葉、海馬迴、杏仁核、下視丘的功能 - 十方啟能中心,http://www.sfang.org.tw/ja35/index.php/about-us-2/2017-07-21-02-22-10/33-2018-08-01-02-22-22/137-2018-08-01-03-42-53
博碩士論文行動網,https://ndltd.ncl.edu.tw/cgi-bin/gs32/gsweb.cgi/login?o=dnclcdr&s=id=%22091CGU00325039%22.&searchmode=basic
甜點的致命誘惑！ - 科學人雜誌,https://sa.ylib.com/MagCont.aspx?Unit=columns&id=2841
運動改善老化自主神經失衡的機制探討:下視丘旁室核發炎及其 ...,https://researchoutput.ncku.edu.tw/en/projects/%E9%81%8B%E5%8B%95%E6%94%B9%E5%96%84%E8%80%81%E5%8C%96%E8%87%AA%E4%B8%BB%E7%A5%9E%E7%B6%93%E5%A4%B1%E8%A1%A1%E7%9A%84%E6%A9%9F%E5%88%B6%E6%8E%A2%E8%A8%8E%E4%B8%8B%E8%A6%96%E4%B8%98%E6%97%81%E5%AE%A4%E6%A0%B8%E7%99%BC%E7%82%8E%E5%8F%8A%E5%85%B6gabaergic%E7%A5%9E%E7%B6%93%E7%B6%B2%E7%B5%A1%E7%9A%84%E8%A7%92%E8%89%B2
Airiti Library華藝線上圖書館_台灣土雞下視丘急性熱緊迫反應之 ...,https://www.airitilibrary.com/Publication/alDetailedMesh?docid=U0005-0507201810460600
腦下垂體腫瘤 - 長庚醫院,https://www1.cgmh.org.tw/intr/intr2/c32300/d_infor/%E8%85%A6%E4%B8%8B%E5%9E%82%E9%AB%94%E8%85%AB%E7%98%A4.pdf
