Title,url
主動脈剝離-心臟內科-三軍總醫院- Tri-Service General Hospital,https://wwwv.tsgh.ndmctsgh.edu.tw/unit/10012/12862
致命的炸彈– 主動脈瘤（懶人包） - 照護線上,https://www.careonline.com.tw/2018/03/aortic-aneurysm.html
主動脈- 維基百科，自由的百科全書 - Wikipedia,https://zh.wikipedia.org/zh-tw/%E4%B8%BB%E5%8B%95%E8%84%88
【心臟外科】認識主動脈剝離– 中山醫學大學附設醫院,http://web.csh.org.tw/web/222010/?p=3223
致命性的胸痛及主動脈急症：初探急性主動脈剝離作者：臺大 ...,https://epaper.ntuh.gov.tw/health/201711/project_2.html
不可忽視的胸痛疾病－談急性主動脈症候群,http://www.kmuh.org.tw/www/kmcj/data/10209/7.htm
一、主動脈動脈瘤,https://www.skh.org.tw/skh_resource/leap_do/health_picture/1542769978031/%E4%B8%BB%E5%8B%95%E8%84%88%E7%98%A4.pdf
胸主動脈人工血管置入手術病人健康指導手冊 - 台中榮總,https://www.vghtc.gov.tw/UploadFiles/WebFiles/WebPagesFiles/Files/4da045d1-1cda-465e-93c4-d8a132e54595/%E8%83%B8%E4%B8%BB%E5%8B%95%E8%84%88%E4%BA%BA%E5%B7%A5%E8%A1%80%E7%AE%A1%E7%BD%AE%E5%85%A5%E6%89%8B%E8%A1%93.pdf
致命性的心臟殺手-急性主動脈剝離,http://www.tcmg.com.tw/paper/paper-1001203.htm
主動脈剝離- YouTube,https://www.youtube.com/watch?v=Ese-heIvXaY
【醫師聊天室】主動脈剝離該怎麼辦？ - YouTube,https://www.youtube.com/watch?v=-u3NQcmpHDw
外科－主動脈剝離-高點醫護網,http://doctor.get.com.tw/m/Journal/detail.aspx?no=403015
難纏的主動脈瘤死亡率極高| El Camino Health,https://www.elcaminohealth.org/stay-healthy/blog/aortic-aneurysm-difficult-disease-high-mortality-rate-zh
支架血管治療主動脈瘤 - 台灣血管外科學會,https://www.tsvs.org/teach_detail.php?id=8
心臟血管疾病分類致死率No.1 「急性主動脈剝離症」,https://tpech.gov.taipei/mp109151/News_Content.aspx?n=0496F430C1411365&sms=B0D8FD2859388103&s=9E011E85E2840519
主動脈剝離多樣性臨床表徵 - 中華民國重症醫學會,http://www.tsccm.org.tw/Magazine/Folder/96010-%B3%AF%C0A%B1d-%A4%A4133-144.pdf
主動脈剝離誤為扭傷輕忽血壓控制險喪命| 林新醫院,http://www.lshosp.com.tw/%E7%84%A6%E9%BB%9E%E6%96%B0%E8%81%9E/%E4%B8%BB%E5%8B%95%E8%84%88%E5%89%9D%E9%9B%A2%E8%AA%A4%E7%82%BA%E6%89%AD%E5%82%B7-%E8%BC%95%E5%BF%BD%E8%A1%80%E5%A3%93%E6%8E%A7%E5%88%B6%E9%9A%AA%E5%96%AA%E5%91%BD/
主動脈剝離| 醫學影像學習園地 - 中國醫藥大學,http://www2.cmu.edu.tw/~cmcmd/ctanatomy/clinical/aorticdissection.html
認識主動脈剝離,http://www.cych.org.tw/cychWeb/cych3/ad/files/2019125B005%E8%AA%8D%E8%AD%98%E4%B8%BB%E5%8B%95%E8%84%88%E5%89%9D%E9%9B%A2-SICU-2018-05-18.pdf
心肌梗塞、主動脈剝離要人命！趕快檢查手指、耳朵，有這特徵 ...,https://health.tvbs.com.tw/review/321674
急性主動脈剝離 - 心臟血管外科 - 成功大學,http://surgery.hosp.ncku.edu.tw/cvs_new/service/service23.htm
腹主動脈瘤之外科手術治療的演進和新治療準則 - 心臟血管外科,https://wd.vghtpe.gov.tw/cvs/Fpage.action?muid=11034&fid=10443
成功創下台灣以“急凍人”方式完成升主動脈及主動脈弓剝離性 ...,https://www1.vghtpe.gov.tw/msg/%E6%88%90%E5%8A%9F%E5%89%B5%E4%B8%8B%E5%8F%B0%E7%81%A3%E4%BB%A5%E6%80%A5%E5%87%8D%E4%BA%BA%E6%96%B9%E5%BC%8F%E5%AE%8C%E6%88%90%E5%8D%87%E4%B8%BB%E5%8B%95%E8%84%88%E5%8F%8A%E4%B8%BB%E5%8B%95%E8%84%88%E5%BC%93%E5%89%9D%E9%9B%A2%E6%80%A7%E5%8B%95%E8%84%88%E7%98%A4950825.htm
腹主動脈瘤 - 高雄榮民總醫院,https://org.vghks.gov.tw/cvs/News_Content.aspx?n=348A76B6B4BCF95E&sms=AC3E7D2EE7009B45&s=CAE53D715FBB381C
衛生局-照護疑似主動脈瘤病患之案例分析 - 金門縣衛生局,https://phb.kinmen.gov.tw/cp.aspx?n=0D6223E90A09DAB4
主動脈剝離 - 國立台灣大學醫學院附設醫院新竹分院,https://www.hch.gov.tw/hch/MedicalTeams/HealthEducationDetail.aspx?MNO=C016&ID=6433
「架」厲害！喉嚨沙啞竟是胸主動脈瘤剝離幸支架置放術成功解危,https://www.auh.org.tw/NewsInfo/NewsArticle?no=767
主動脈剝離、急性心肌梗塞......這4種胸痛攸關生死！ - 康健雜誌,https://www.commonhealth.com.tw/article/article.action?nid=73488
