Title,url
人體器官圖 - 衛生福利部國民健康署,https://www.hpa.gov.tw/Pages/Detail.aspx?nodeid=877&pid=4927
人體- 維基百科，自由的百科全書 - Wikipedia,https://zh.wikipedia.org/zh-tw/%E4%BA%BA%E4%BD%93
你知道人體10大器官的保固期有多長？原來大腦只有20年 ...,https://heho.com.tw/archives/30638
博客來-人體全解剖圖鑑：專業醫學背景下的基礎剖析，完整 ...,https://www.books.com.tw/products/0010764675
人體器官保存庫- 人體細胞組織優良操作規範(GTP) - 再生醫療 ...,https://www.fda.gov.tw/TC/site.aspx?sid=1789
我國人體肢段特性資料 - 勞動部勞動及職業安全衛生研究所,https://www.ilosh.gov.tw/menu/1188/1201/%E4%BA%BA%E9%AB%94%E8%A8%88%E6%B8%AC%E8%B3%87%E6%96%99%E5%BA%AB/%E6%88%91%E5%9C%8B%E4%BA%BA%E9%AB%94%E8%82%A2%E6%AE%B5%E7%89%B9%E6%80%A7%E8%B3%87%E6%96%99/
人體生物資料庫參與者同意書參考格式- 醫事司,https://dep.mohw.gov.tw/DOMA/cp-3133-12827-106.html
科學家告訴你：你身體裏過半組成不是人類- BBC News 中文,https://www.bbc.com/zhongwen/trad/science-43716592
70個你有所不知的人體小知識- YouTube,https://www.youtube.com/watch?v=l6S48Ml7Afc
人體研究倫理審查委員會 - 台中榮總,https://www.vghtc.gov.tw/PageView/UnitTemplate1?UnitID=eaf3c945-a5d9-493f-938f-37c8449cc2a1&UnitDefaultTemplate=1
人體生物資料庫- 中國醫藥大學附設醫院,https://www.cmuh.cmu.edu.tw/Department/Detail?depid=146
人體器官保存庫管理辦法-全國法規資料庫,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0020151
人體試驗委員會,https://wd.vghtpe.gov.tw/irb/Fpage.action?muid=3062&fid=2142
臺北市立聯合醫院-人體研究倫理審查委員會,https://tpech.gov.taipei/News.aspx?n=C219D4DEF1A9AB4F&sms=018D05F1FE46A114
人體生物資料庫- 彰化基督教醫院,http://www2.cch.org.tw/layout_4/index.aspx?id=4616
人體- 教育百科,https://pedia.cloud.edu.tw/Entry/Detail/?title=%E4%BA%BA%E9%AB%94&search=%E4%BA%BA%E9%AB%94
【風車圖書】人體知識百科- momo購物網,https://m.momoshop.com.tw/goods.momo?i_code=4231415
臨床首例！台灣新冠疫苗研發國光獲准人體試驗| 我嚴防新冠 ...,https://udn.com/news/story/120940/4788472
陸大使訪吉里巴斯踩30童「人體地毯」照片流出引國際議論 ...,https://udn.com/news/story/6809/4794398
高雄長庚人體生物資料庫- 首頁- 最新消息 - 長庚醫院,https://www1.cgmh.org.tw/intr/intr4/c8sa00/biobank/index.html
Over my body成真中國大使走在迎賓孩童俯臥的人體地毯上惹議,https://www.mirrormedia.mg/story/20200818edi046/
IRB of FJU | 輔仁大學人體研究倫理委員會,http://irb.rdo.fju.edu.tw/
人體試驗審議會(IRB)-三軍總醫院- Tri-Service General Hospital,https://wwwv.tsgh.ndmctsgh.edu.tw/unit/10003/12206
首頁@國立交通大學人體與行為研究倫理委員會,https://irb.nctu.edu.tw/
首頁 - 臺灣人體生物資料庫,https://www.twbiobank.org.tw/new_web/index.php
臺北醫學大學人體研究處,http://ohr.tmu.edu.tw/
秀傳醫療體系-彰秀人體試驗委員會,https://www.scmh.org.tw/internet/blog/Default.aspx?blog=Q0FfSHVtYW4=
鑑別及降低人體首次臨床試驗及早期臨床試驗之風險策略指引,https://www.cde.org.tw/Content/Files/Knowledge/8ef7aedb-9123-4114-b056-8888ee536f6e.pdf
