Title,url
女性生殖系統- 维基百科，自由的百科全书,https://zh.wikipedia.org/zh-tw/%E5%A5%B3%E6%80%A7%E7%94%9F%E6%AE%96%E7%B3%BB%E7%B5%B1
男性生殖系統- 维基百科，自由的百科全书,https://zh.wikipedia.org/zh-tw/%E7%94%B7%E6%80%A7%E7%94%9F%E6%AE%96%E7%B3%BB%E7%B5%B1
外生殖器_百度百科,https://baike.baidu.com/item/%E5%A4%96%E7%94%9F%E6%AE%96%E5%99%A8
• 女性外生殖器官-p2～10 • 女性內生殖器官-p11～16 •,http://web2.ctsh.hcc.edu.tw/stu98/s9811429/public_html/homework/4.pdf
內生殖器、 外生殖器 - 今日營養,https://www.nutritionno1.com/component/content/article/20-woman-guide/135-hna154.html
女性生殖器構造,http://www.shute.kh.edu.tw/~healthcare/U20030402003/prog/top.htm
私密處特輯－陰部的生理介紹與陰道雷射完整全攻略| 美的好朋友,https://www.medpartner.club/vagina-laser/
女性生殖器官,http://163.28.10.78/content/senior/house_work/yl_ld/content/28-1/literature23.htm
《女人生理特點》女性外生殖器官包括哪些？ - 每日頭條,https://kknews.cc/zh-tw/health/5vbk668.html
性教育教材內容介紹(一),https://joyce929.org.tw/upfile/1534816563.pdf
女性外生殖器- A+醫學百科,http://cht.a-hospital.com/w/%E5%A5%B3%E6%80%A7%E5%A4%96%E7%94%9F%E6%AE%96%E5%99%A8
認識男女內外生殖器官- 苗栗縣Website網站建置服務平台,http://website.mlc.edu.tw/pub000271/index/page/id/4658
女性外生殖器- 女性健康问题- 《默克诊疗手册家庭版》,https://www.msdmanuals.com/zh/home/women-s-health-issues/biology-of-the-female-reproductive-system/female-external-genital-organs
青少年生理發展 - 亞東紀念醫院青少年健康中心- 青少年專區,http://depart.femh.org.tw/family/teen/t_1.html
從一到四十兆—藉生殖系統探究不孕症- 科學月刊Science Monthly,https://www.scimonth.com.tw/tw/article/show.aspx?num=3602&root=2&page=1
女性生殖系統解剖,https://www1.cgmh.org.tw/intr/intr5/c6700/OBGYN/%E5%A5%B3%E6%80%A7%E7%94%9F%E6%AE%96%E7%B3%BB%E7%B5%B1%E8%A7%A3%E5%89%96.htm
3. 女性外生殖器官是由下列那些構造組成？①子宮②陰阜③大小 ...,https://yamol.tw/item-3.+%E5%A5%B3%E6%80%A7%E5%A4%96%E7%94%9F%E6%AE%96%E5%99%A8%E5%AE%98%E6%98%AF%E7%94%B1%E4%B8%8B%E5%88%97%E9%82%A3%E4%BA%9B%E6%A7%8B%E9%80%A0%E7%B5%84%E6%88%90%EF%BC%9F%E2%91%A0%E5%AD%90%E5%AE%AE%E2%91%A1%E9%99%B0%E9%98%9C+%E2%91%A2%E5%A4%A7%E5%B0%8F%E9%99%B0%E5%94%87+%E2%91%A3%E5%89%8D%E5%BA%AD+%E2%91%A4+..-1122858.htm
"胚胎學-生殖腺、生殖管道及外生殖器的發生,基礎醫學教室-高點 ...",http://doctor.get.com.tw/detail.aspx?no=415450
男性生殖器官的组成,http://www.swmctcm.com/hcs/old_web/zhnkw/man_health/3.htm
【私處保養】正確認識女性的生殖器官︰分泌物何謂正常？,https://www.hk01.com/%E7%9F%A5%E6%80%A7%E5%A5%B3%E7%94%9F/219278/%E7%A7%81%E8%99%95%E4%BF%9D%E9%A4%8A-%E5%A6%B9%E5%A6%B9%E4%BF%9D%E9%A4%8A%E5%88%86%E5%85%A7%E5%A4%96-%E5%88%A5%E8%BF%B7%E4%BF%A1%E5%BC%B1%E9%85%B8%E6%80%A7%E4%B9%9F%E4%B8%8D%E8%A6%81%E5%B9%AB%E5%A5%B9-%E8%AA%BF%E5%91%B3
"胚胎學-生殖腺、生殖管道及外生殖器的發生,基礎醫學教室-高點 ...",http://doctor.get.com.tw/detail.aspx?no=415450
生殖系統@ Saligia :: 痞客邦::,http://god0709.pixnet.net/blog/post/310862144-%E7%94%9F%E6%AE%96%E7%B3%BB%E7%B5%B1
生殖系統的發育Development of Reproductive System ...,https://teachingcenter1.pixnet.net/blog/post/353709542
女孩身體的秘密-性福e學園,https://young.hpa.gov.tw/index/yngshow.aspx?CDE=YNG20170710084828H3A&t=YTP201707041329479GH
男女外生殖器的分化(Differentiation of male and female ...,https://smallcollation.blogspot.com/2013/08/differentiation-of-male-and-female.html
(ME-A127)醫用女性內生殖器官解剖模型子宮卵巢生殖結構婦科 ...,https://www.ruten.com.tw/item/show?21724495027081
除了心肝脾肺腎，失能險還保障了生殖器官！ - 凱泰保險顧問網,https://wecarewelink.pixnet.net/blog/post/404441494-%E9%99%A4%E4%BA%86%E5%BF%83%E8%82%9D%E8%84%BE%E8%82%BA%E8%85%8E%EF%BC%8C%E5%A4%B1%E8%83%BD%E9%9A%AA%E9%82%84%E4%BF%9D%E9%9A%9C%E4%BA%86%E7%94%9F%E6%AE%96%E5%99%A8%E5%AE%98%EF%BC%81
女性生殖系统 - 十堰市人民医院,http://www.shiyanhospital.com/ks/ivf-hubei/smtm.htm
衞生署學生健康服務- 青春期(家長篇),https://www.studenthealth.gov.hk/tc_chi/health/health_se/health_se_pp.html
生殖器疣簡介by 女人心事-婦產科醫療服務網,http://www.obsgyn.net/info/general_gyn_Genital_Wart_NIH.htm
