Title,url
外頸動脈- 维基百科，自由的百科全书,https://zh.wikipedia.org/zh-tw/%E5%A4%96%E9%A0%B8%E5%8B%95%E8%84%88
總頸動脈(common carotid artery) - 小小整理網站Smallcollation,https://smallcollation.blogspot.com/2013/02/artery-aortic-arch-common-carotid-artery.html
解剖學-體循環動脈-高點醫護網,http://doctor.get.com.tw/m/Journal/detail.aspx?no=402326
陽明大學醉瑀殤外頸動脈分支們 - Facebook,https://zh-tw.facebook.com/medfunlearning/posts/30%E8%A7%A3%E5%89%96-%E8%A1%80%E7%AE%A1-%E5%9C%8B%E8%80%83%E6%8F%90%E4%BE%9B%E8%80%85%E9%99%BD%E6%98%8E%E5%A4%A7%E5%AD%B8-%E9%86%89%E7%91%80%E6%AE%A4%E5%A4%96%E9%A0%B8%E5%8B%95%E8%84%88%E5%88%86%E6%94%AF%E5%80%91br-of-external-carotid-a%E5%8F%A3%E8%A8%A3%E4%B8%8A%E5%AF%A6%E9%A9%97%E8%AA%B22%E5%80%8Bop%E5%BE%8C%E9%9D%A2%E4%BE%86%E9%81%B2%E5%88%B0%E7%9A%84%E6%84%8F%E6%80%9D%E5%89%8D%E5%A4%A9%E8%AB%8B%E5%96%AA%E5%81%87%E7%8E%A9lf%E6%9C%80%E5%BE%8C/1466966683615398/
16.外頸動脈（external carotid artery）之下列那一分枝，..-阿摩 ...,https://yamol.tw/item-16.%E5%A4%96%E9%A0%B8%E5%8B%95%E8%84%88%EF%BC%88external+carotid+artery%EF%BC%89%E4%B9%8B%E4%B8%8B%E5%88%97%E9%82%A3%E4%B8%80%E5%88%86%E6%9E%9D%EF%BC%8C..-1366980.htm
顱外頸動脈超音波檢查技術(Doppler Scan - Carotid),http://www.twsrt.org.tw/twsrt/upfile/files/2019925104211.pdf
external carotid artery - 頸外動脈 - 國家教育研究院雙語詞彙,http://terms.naer.edu.tw/detail/1436249/
頸動脈三角Carotid Triangle - KMU Anatomy Video,http://anatomy.kmu.edu.tw/vapp/Carotid%20triangle.html
以陣發性眩暈及醒覺幻覺為表徵之基底動脈狹窄 - 台灣老年學暨 ...,http://www.tagg.org.tw/DOWN/%E9%9B%9C%E8%AA%8C/4-2/4-2-6-%E7%97%85%E4%BE%8B-%E9%99%B3%E5%BB%BA%E5%BF%97-p143-149.pdf
什麼是中風095/01 - 遠東聯合診所,http://www.fepc.com.tw/magazine/09501/09501.htm?sno=31
頸動脈粥狀硬化狹窄 - Guideline,http://www.tcmg.com.tw/%E7%A5%9E%E5%A4%96www/vascular/Stroke%20society/guideline_10.htm
頸部超音波在腦血管疾病之應用,http://www.kmuh.org.tw/www/kmcj/data/10608/17.htm
頸動脈剝離與頭痛 - 台灣頭痛學會,http://www.taiwanheadache.com.tw/epaperpdf/epaper80.pdf
關鍵字：外頸動脈- 自由健康網,https://health.ltn.com.tw/keywords/%E5%A4%96%E9%A0%B8%E5%8B%95%E8%84%88
顱血管超音波Q&A 1.為什麼腦中風要做顱外顱內血管超音波血管 ...,http://www.mmh.org.tw/taitam/phy/QApdf/C/1923Q&A.pdf
無標題文件 - 馬偕紀念醫院,http://www.mmh.org.tw/taitam/phy/menu04-16.htm
瞭解頸動脈超音波 - 中壢長榮醫院.,http://www.egh.com.tw/calendar2-m1.php?cid=111&prodid=291&id=1&section=31
高血壓且頸動脈流速較低之年長者伴隨認知功能衰退之可能風險 ...,https://enews.nhri.org.tw/?p=2394
新網頁4,http://web.skh.org.tw/Neuro/duplex.htm
基隆長庚腦中風中心,https://www1.cgmh.org.tw/strokekel/Main-introduction2.html
頸動脈- 教育百科,https://pedia.cloud.edu.tw/Entry/Detail/?title=%E9%A0%B8%E5%8B%95%E8%84%88
為何頸動脈的正常與否和失智風險有關？ – 衛普ㄒㄧㄢ知,https://science.nhri.edu.tw/health/552/
淺談頸動脈海綿竇瘻管,https://hos01p.vghks.gov.tw/pcu/sites/default/files/%E6%B7%BA%E8%AB%87%E9%A0%B8%E5%8B%95%E8%84%88%E6%B5%B7%E7%B6%BF%E7%AB%87%E7%98%BB%E7%AE%A1%202010-8-9.pdf
您是否會得腦中風? - 彰化基督教醫療合作醫院-佑民醫療社團 ...,http://www.yumin.com.tw/hosp2/ha/ha_file.php?id=MTAyMDEyMTEwMTcyMg==
顱外頸動脈瘤應該怎麼診斷？有哪些步驟？ - 每日頭條,https://kknews.cc/zh-tw/health/3blbv6a.html
以搏動性耳鳴為表現之頸部內側頸動脈瘤：病例報告 - 台灣家庭 ...,https://www.tafm.org.tw/ehc-tafm/s/viewDocument?documentId=89544b5681f44d69ba677bd442492f75
頸動脈超音波檢查@ 來自白色巨塔的Angel Hsin :: 痞客邦::,https://littlewu0502.pixnet.net/blog/post/261417943?m=off/////////
Airiti Library華藝線上圖書館_由內頸動脈和外頸動脈共同供血之 ...,https://www.airitilibrary.com/Publication/alDetailedMesh?docid=10188940-199203-17-1-25-36-a
心血管健康史評估。 - 輔英科技大學,http://ilms.fy.edu.tw/sys/read_attach.php?id=1065455
