Title,url
曲線- 維基百科，自由的百科全書 - Wikipedia,https://zh.wikipedia.org/zh-tw/%E6%9B%B2%E7%BA%BF
曲線- 教育百科,https://pedia.cloud.edu.tw/Entry/Detail/?title=%E6%9B%B2%E7%B7%9A&search=%E6%9B%B2%E7%B7%9A
曲線- 萌典,https://www.moedict.tw/%E6%9B%B2%E7%B7%9A
貝茲曲線 - OpenHome.cc,https://openhome.cc/Gossip/OpenSCAD/BezierCurve.html
【 新版兒童生長曲線】 健康九九網站 - 國民健康署,https://health99.hpa.gov.tw/OnlinkHealth/Quiz_Grow.aspx
漫談希爾伯特曲線| iThome,https://www.ithome.com.tw/voice/139401
曲線- GeoGebra Manual,https://wiki.geogebra.org/s/zh/index.php?title=%E6%9B%B2%E7%B7%9A&variant=zh-tw
效用曲線- MBA智库百科,https://wiki.mbalib.com/zh-tw/%E6%95%88%E7%94%A8%E6%9B%B2%E7%BA%BF
關於位移曲線 - PTC Support,http://support.ptc.com/help/creo/creo_pma/chinese_tw/surfacing/style/About_Offsetting_Curves.html
透過點建立基準曲線 - PTC Support,http://support.ptc.com/help/creo/creo_pma/chinese_tw/part_modeling/part_modeling/part_four_sub/To_Create_a_Datum_Curve_Through_Points_.html
博客來-第二曲線：英國管理大師韓第的16個思索，預見社會與 ...,https://www.books.com.tw/products/0010709605
在Photoshop 中使用「曲線調整」,https://helpx.adobe.com/tw/photoshop/using/curves-adjustment.html
Mac 版GarageBand: 顯示音軌自動混音曲線 - Apple Support,https://support.apple.com/kb/PH24988?viewlocale=zh_TW&locale=de_CH
2018 SOLIDWORKS 說明- 產生投影曲線 - SolidWorks Web Help,http://help.solidworks.com/2018/Chinese/SolidWorks/sldworks/HIDD_DVE_PROJ_SKETCH.htm
曲線- Wiktionary,https://en.wiktionary.org/wiki/%E6%9B%B2%E7%B7%9A
三維歐氏空間中的的曲線,http://www.scu.edu.tw/math/Chieping/n.5-dimension/curves%20in%20Euclidean%20space.html
負載曲線（BAC） | 表面粗糙度的參數| 何謂線條粗糙度| 解決 ...,https://www.keyence.com.tw/ss/products/microscope/roughness/line/tab06_d.jsp
第4 章二次曲線,http://affairs.ymhs.tyc.edu.tw/math/sumup/ScrClass/1042/HomWok/Book4/ch4-3.pdf
重力下的最快下降曲線 - 國立中央大學科學教育中心,http://phy.tw/%E7%A7%91%E5%AD%B8%E5%AF%A6%E9%A9%97/item/75-2016-06-06-15-34-35
圓錐曲線,http://md1.mdhs.tc.edu.tw/tp/teacher/TE1191/%E7%8F%AD%E7%B4%9A%E7%B6%93%E7%87%9F/03%20%E5%9C%93%E9%8C%90%E6%9B%B2%E7%B7%9A.pdf
曲線工具,http://163.28.10.78/content/junior/computer/ks_mc/chapter/ch06/c06_03_02_02.htm
商業思維：我到底該學些什麼？讓第二曲線引領我們思考人生 ...,https://www.bnext.com.tw/article/54132/the-second-curve-career
曲線工具工具列 - docs.mcneel.com,http://docs.mcneel.com/rhino/5/help/zh-tw/toolbarmap/curve_tools_toolbar.htm
【自由曲線】實價登錄查詢-新竹市東區,https://m.591.com.tw/community-detail.html?cid=40914
血糖曲線- BD.com,https://www.bd.com/zh-tw/offerings/diabetes-care/caring-for-a-pet-with-diabetes/diabetes-in-dogs/monitoring-your-dog/blood-glucose-curves
《美債》Fed不啟動殖利率曲線控制殖利率反彈走高- Yahoo ...,https://tw.stock.yahoo.com/news/%E7%BE%8E%E5%82%B5-fed%E4%B8%8D%E5%95%9F%E5%8B%95%E6%AE%96%E5%88%A9%E7%8E%87%E6%9B%B2%E7%B7%9A%E6%8E%A7%E5%88%B6-%E6%AE%96%E5%88%A9%E7%8E%87%E5%8F%8D%E5%BD%88%E8%B5%B0%E9%AB%98-230600351.html
clothoid curve - 克羅梭曲線 - 國家教育研究院雙語詞彙,http://terms.naer.edu.tw/detail/1297691/
曲線| Dynamo Primer,https://primer.dynamobim.org/zh-tw/05_Geometry-for-Computational-Design/5-4_curves.html
兒童生長曲線及發展評估,https://growth.healthinfo.tw/
