Title,url
皮膚系統- 维基百科，自由的百科全书,https://zh.wikipedia.org/zh-tw/%E7%9A%AE%E8%86%9A%E7%B3%BB%E7%B5%B1
皮膚- 维基百科，自由的百科全书,https://zh.wikipedia.org/zh-tw/%E7%9A%AE%E8%86%9A
【生理學】皮膚系統@ Saligia :: 痞客邦::,https://god0709.pixnet.net/blog/post/311066540
皮膚的構造與功能,http://aca.cust.edu.tw/online/uvnsp/02/data/02-03-01.pdf
皮膚系統與觸覺受容器簡介,http://media.nuas.ac.jp/~robin/Note/SKIN.HTM
皮膚系統,http://210.59.2.1/jfvs/%E6%95%99%E5%AD%B8%E7%B5%84/%E6%95%99%E5%AD%B8%E5%AA%92%E9%AB%94/98%E5%AD%B8%E5%B9%B4%E5%BA%A6/98%E7%9A%AE%E8%86%9A%E7%B3%BB%E7%B5%B1-%E6%9D%8E%E7%BF%A0%E8%8F%AF.ppt
皮膚構造與功能與保健,http://web2.ctsh.hcc.edu.tw/stu98/s9811206/public_html/work/skin.pdf
皮膚系統(Integument system),http://hist.class.kmu.edu.tw/System/integument/index.html
皮膚系統@ 美亞邦的部落格:: 痞客邦::,https://maia5868.pixnet.net/blog/post/127924783-%E7%9A%AE%E8%86%9A%E7%B3%BB%E7%B5%B1
皮膚系統,https://allentube211.files.wordpress.com/2017/09/ch04_e79aaee8869ae7b3bbe7b5b1.pdf
一層又一層：了解皮膚的結構- Ask The Scientists,https://askthescientists.com/zh-hant/skin-layers/
皮膚系統- 護理指導- 護理部- 醫事專科- 科別介紹- 新光醫院,https://www.skh.org.tw/skh/c5c0e07c15.html
皮膚- A+醫學百科,http://cht.a-hospital.com/w/%E7%9A%AE%E8%82%A4
皮膚保護功能,http://www1.pu.edu.tw/~s1060385/project2/eight/8-1.html
皮膚深度之旅：皮膚的免疫功能－科技大觀園,https://scitechvista.nat.gov.tw/c/s2u9.htm
【盧靜怡醫師】談談皮膚構造 - iSkin 盧靜怡皮膚專科診所,https://www.iskin.com.tw/column/527/%E8%AB%87%E8%AB%87%E7%9A%AE%E8%86%9A%E6%A7%8B%E9%80%A0
皮膚的免疫功能,https://ejournal.stpi.narl.org.tw/sd/download?source=9507/9507-04.pdf&vlId=A85CEBFB-B578-4221-BDDE-392AA7C31648&nd=0&ds=0
老年生理變化暨相關失能預防 - 嘉義基督教醫院,http://www.cych.org.tw/cychweb/health/ad/files/105%E5%98%89%E5%9F%BA_%E8%80%81%E5%B9%B4%E7%94%9F%E7%90%86%E8%AE%8A%E5%8C%96%E6%9A%A8%E7%9B%B8%E9%97%9C%E5%A4%B1%E8%83%BD%E9%A0%90%E9%98%B2_submitted_%E7%99%BD%E6%83%A0%E6%96%87.pdf
皮膚生理構造@ 家庭醫學常識:: 痞客邦::,https://mikevgh.pixnet.net/blog/post/25185686
乾癬的全面照護| 馬偕紀念醫院皮膚科,http://www.mmh.org.tw/taitam/derma/academic/article/id-2.html
皮膚- 康健知識庫,http://kb.commonhealth.com.tw/library/category/12
【威旺VIVAMUNE】犬用保健品(關節、皮膚、消化系統健康 ...,https://m.momoshop.com.tw/goods.momo?i_code=7172267
皮膚系統- 國防醫學院數位學習平台,http://lms.ndmctsgh.edu.tw/course/6243
皮膚系統- 國防醫學院數位學習平台,http://lms.ndmctsgh.edu.tw/course/2955
皮膚及黏膜藥物-消化系統藥物-西藥製藥-生達化學製藥,http://www.standard.com.tw/product.php?c1=1&c2=2
integumentary system - 皮膚系統 - 國家教育研究院雙語詞彙,http://terms.naer.edu.tw/detail/716534/
請注意你的免疫系統在叛變！ - 啟新健康世界-專業健康檢查 ...,http://www.ch.com.tw/index.aspx?sv=ch_epaper&chapter=AIA010501
對抗病毒另闢蹊徑！免疫過激傷敵三千、自損一萬，減緩發炎或 ...,https://research.sinica.edu.tw/clec5a-platelet-immunity-hsieh-shie-liang/
風濕免疫科,https://www.chimei.org.tw/main/clh_department/top/77390_index.html
8. 皮膚系統與皮下組織 - 醫病共享決策平台 - 衛生福利部,https://sdm.patientsafety.mohw.gov.tw/AssistTool/List?sn=24&sType=16&cid=1314
