Title,url
總頸動脈- 维基百科，自由的百科全书,https://zh.wikipedia.org/zh-tw/%E7%B8%BD%E9%A0%B8%E5%8B%95%E8%84%88
總頸動脈(common carotid artery) - 小小整理網站Smallcollation,https://smallcollation.blogspot.com/2013/02/artery-aortic-arch-common-carotid-artery.html
淺談頸動脈狹窄,http://www.kmuh.org.tw/www/kmcj/data/9909/15.htm
解剖學-體循環動脈-高點醫護網,http://doctor.get.com.tw/m/Journal/detail.aspx?no=402326
高血壓且頸動脈流速較低之年長者伴隨認知功能衰退之可能風險 ...,https://enews.nhri.org.tw/?p=2394
頸動脈狹窄、阻塞恐致腦中風！暈眩、視力模糊都要警覺 - 愛長照,https://www.ilong-termcare.com/Article/Detail/1868
前頸三角的動脈與神經Anterior Triangle of Neck - A&N - KMU ...,http://anatomy.kmu.edu.tw/vapp/Anterior%20Triangle%20of%20Neck%20-%20AN.html
認識頸動脈狹窄@ 神經科常見疾病:: 痞客邦::,http://cgmhneuro.pixnet.net/blog/post/24263892
顱外頸動脈超音波檢查技術(Doppler Scan - Carotid),http://www.twsrt.org.tw/twsrt/upfile/files/2019925104211.pdf
醫檢小百科-頸動脈超音波,http://www.labmed.org.tw/knowledge_1.ASP?mno=70
頸動脈超音波檢查注意事項-神經科部-三軍總醫院- Tri-Service ...,https://wwwv.tsgh.ndmctsgh.edu.tw/Unit/10039/14348
長庚醫訊  長庚紀念醫院,https://www.cgmh.org.tw/cgmn/category.asp?id_seq=1508239
頸動脈狹窄、阻塞恐致腦中風！暈眩、視力模糊都要警覺|早安 ...,https://www.edh.tw/article/17655
彩色頸動脈複合式超音波檢查(PDF),https://www.ntuh.gov.tw/ckfinder_file/neur/files/%E7%A5%9E%E7%B6%93%E7%A7%91%E8%B6%85%E9%9F%B3%E6%B3%A2%E5%B0%88%E6%AC%84--%E5%BD%A9%E8%89%B2%E9%A0%B8%E5%8B%95%E8%84%88%E8%A4%87%E5%90%88%E5%BC%8F%E8%B6%85%E9%9F%B3%E6%B3%A2%E6%AA%A2%E6%9F%A5%20(PDF)%20%20%E6%9E%97%E4%BF%A1%E5%85%89.pdf
一文讀懂頸動脈解剖、頸動脈超聲及頸動脈斑塊- 每日頭條,https://kknews.cc/zh-tw/health/mbvan3g.html
頸動脈超音波檢查揪出血管病變防中風 - 健康刊物| 全民健康 ...,https://www.twhealth.org.tw/journalView.php?cat=15&sid=260&page=2
瞭解頸動脈超音波 - 中壢長榮醫院.,http://www.egh.com.tw/calendar2-m1.php?cid=111&prodid=291&id=1&section=31
我有頸動脈狹窄，需不需要手術治療,https://www.sltung.com.tw/health/files/A03.pdf
Lab 8A - Vessels and nerves of the neck 頸部血管與神經 I ...,http://web.nchu.edu.tw/~chenjr/Dissection%20protocol/Lab%208A/8A-index.htm
頸動脈超音波檢查 - 台中榮總,http://www.vghtc.gov.tw/UnitPage/RowViewDetail?WebRowsID=e51469ce-dca9-42c7-a540-e7870e5909be&UnitID=ef8e6e5f-d38f-484f-a263-e051f0110fcc&CompanyID=e8e0488e-54a0-44bf-b10c-d029c423f6e7&UnitDefaultTemplate=1
Common carotid artery - 總頸動脈 - 國家教育研究院雙語詞彙,http://terms.naer.edu.tw/detail/567471/
什麼是中風095/01 - 遠東聯合診所,http://www.fepc.com.tw/magazine/09501/09501.htm?sno=31
我有頸動脈狹窄，需不需要手術治療- 國語版- YouTube,https://www.youtube.com/watch?v=zzlVKfTj7eQ
口腔癌術後總頸動脈破裂致假性總頸動脈瘤 - url.tw,http://www.aoms.url.tw/joomla/attachments/article/76/16-2-99-108.pdf
頸動脈內膜切除手術說明書 - 高雄市立大同醫院,http://www.kmtth.org.tw/from/%E5%A4%A7%E5%A4%96%E7%A7%91%E8%A1%A8%E5%96%AE-%E8%AA%AA%E6%98%8E%E5%90%8C%E6%84%8F%E6%9B%B8/%E8%85%A6%E5%A4%96/%E9%A0%B8%E5%8B%95%E8%84%88%E5%85%A7%E8%86%9C%E5%88%87%E9%99%A4%E6%89%8B%E8%A1%93.pdf
頸動脈阻塞小心中風_聰明醫療_文章專區| 常春月刊--台視文化 ...,https://www.ttvc.com.tw/%E9%A0%B8%E5%8B%95%E8%84%88%E9%98%BB%E5%A1%9E%E5%B0%8F%E5%BF%83%E4%B8%AD%E9%A2%A8-a-647.html
頸動脈流速太慢失智風險增| 其他| 失智| 元氣網,https://health.udn.com/health/story/10698/4130975
Airiti Library華藝線上圖書館_居家照護與門診病人總頸動脈斑塊 ...,https://www.airitilibrary.com/Publication/alDetailedMesh?docid=18102549-202006-202006100001-202006100001-228-237
頸動脈內膜中膜厚度與心血管疾病,http://www.doctor.org.tw/file/70-3-5.pdf
