Title,url
腹- 維基百科，自由的百科全書 - Wikipedia,https://zh.wikipedia.org/zh-tw/%E8%85%B9
腹膜- 维基百科，自由的百科全书,https://zh.wikipedia.org/zh-tw/%E8%85%B9%E8%86%9C
腹腔_百度百科,https://baike.baidu.com/item/%E8%85%B9%E8%85%94
腹腔鏡手術| 檢查項目| 衛生福利部彰化醫院,https://www.chhw.mohw.gov.tw/?aid=53&pid=98&page_name=detail&iid=137
腹腔鏡手術簡介by 女人心事-婦產科醫療服務網,http://www.obsgyn.net/info/general_gyn_laparoscope.htm
"解剖學-腹膜與腹膜腔,基礎醫學教室-高點醫護網",http://doctor.get.com.tw/m/Journal/detail.aspx?no=407268
腹腔鏡人工氣腹與病患準備/王錦榮 - 長庚婦產科,https://www1.cgmh.org.tw/intr/intr2/c4710/contents/m/44-6.htm
腹腔- 教育百科,http://pedia.cloud.edu.tw/Entry/Detail/?title=%E8%85%B9%E8%85%94
簡介腹腔鏡手術 - 奇美醫療體系-衛教資訊網,https://www.chimei.org.tw/main/cmh_department/59012/info/7720/57720155.html
婦科腹腔鏡手術 - 國泰綜合醫院,https://www.cgh.org.tw/rwd1320/store/F4/04-41.pdf
腹腔鏡子宮肌瘤切除術 - 國泰綜合醫院,https://www.cgh.org.tw/rwd1320/store/F4/08-38.pdf
腹腔鏡手術新知-一般外科-三軍總醫院- Tri-Service General ...,https://wwwv.tsgh.ndmctsgh.edu.tw/unit/10203/15624
陽明醫院一般外科腹腔鏡手術說明,http://www.ymhospital.com.tw/nym/tools/readfile.php?id=280&tdname=pdf1_1
出院須知：腹腔穿刺術 - Fairview,https://www.fairview.org/HealthLibrary/Article/40976
腹腔鏡手術介紹 - 台中榮總,https://www.vghtc.gov.tw/UnitPage/RowViewDetail?WebRowsID=f7432083-4ee7-4322-a6c9-822ddc3d0252&UnitID=70ce9c79-961c-4181-be78-c081dcbe4bc6&CompanyID=e8e0488e-54a0-44bf-b10c-d029c423f6e7&UnitDefaultTemplate=1
腹部手術後的患者是否可再接受腹腔鏡大腸切除術？,http://www.kmuh.org.tw/www/kmcj/data/10204/10.htm
腹腔鏡手術在婦產科之應用,http://www.kmuh.org.tw/www/kmcj/data/9006/4729.htm
腹腔鏡手術| 林新醫院,http://www.lshosp.com.tw/%E9%86%AB%E7%99%82%E5%9C%98%E9%9A%8A/%E4%B8%80%E8%88%AC%E5%A4%96%E7%A7%91/%E9%86%AB%E7%99%82%E6%9C%8D%E5%8B%99/%E8%85%B9%E8%85%94%E9%8F%A1%E6%89%8B%E8%A1%93/
高雄市立大同醫院腹腔鏡腎上腺切除術說明同意書,http://www.kmtth.org.tw/imsc_Chinese/download/0800-072%E8%85%B9%E8%85%94%E9%8F%A1%E8%85%8E%E4%B8%8A%E8%85%BA%E5%88%87%E9%99%A4%E8%A1%93%E8%AA%AA%E6%98%8E%E5%90%8C%E6%84%8F%E6%9B%B8.pdf
腹腔鏡手術的歷史,http://www.stjoho.org.tw/department/gyn/new_page_41.htm
腹腔鏡子宮切除術Laparoscopic Hysterectomy - Kaiser ...,http://thrive.kaiserpermanente.org/care-near-you/northern-california/sanfrancisco/wp-content/uploads/sites/11/2016/02/Laparoscopic-Hysterectomy.pdf
腹腔鏡手術和生理變化@ ~Teachingcenter的醫學筆記~ :: 痞客邦::,https://teachingcenter1.pixnet.net/blog/post/349249397
腦室腹腔引流手術簡介– 國軍臺中總醫院全球資訊網,https://803.mnd.gov.tw/place/hnews1/%E8%85%A6%E5%AE%A4%E8%85%B9%E8%85%94%E5%BC%95%E6%B5%81%E6%89%8B%E8%A1%93%E7%B0%A1%E4%BB%8B/
兒童腹腔內感染的定義,https://www.cdc.gov.tw/File/Get/sqrAKrJg_Uq8Ki5B0HtO3g?path=xlQSckPTU83QsCilN5cSOXPGg1G8K8CqTjXsWZGdJRssR1zka-z3y9zSk3GIPGZlRLPySZfzVW-2McEIP5z7ew&name=9YlGtUywnm6JJl3K2Hw2p8wT61LnlX1B1j66O1IoX3otRqsbznvp-aU4sxq4LDLEeuOT5mQ1GdIuauC0NCr9YQ
對於直腸癌，採用腹腔鏡或是傳統的開刀手術| Cochrane,https://www.cochrane.org/zh-hant/CD005200/COLOCA_dui-yu-zhi-chang-yan-cai-yong-fu-qiang-jing-huo-shi-chuan-tong-de-kai-dao-shou-shu
腹腔鏡手術(含子宮、肌瘤、附屬器)說明書 - 高雄榮民總醫院,http://wwwfs.vghks.gov.tw/Download.ashx?u=LzAwMS9WZ2hrc1VwbG9hZEZpbGVzLzM1NC9yZWxmaWxlLzE0NTEzLzMxMzc0Lzg2MDllYzc4LTNkMGQtNGQ4Zi04NzY1LWU3ZGFmNTVmNWM5Yi5wZGY%3D&n=5amm55Si56eR6IW56IWU6Y%2Bh5omL6KGTXzIwMTMxMTI5LnBkZg%3D%3D&icon=..pdf
禾馨民權婦幼診所- 傳統腹腔鏡子宮肌瘤切除手術（三孔）,http://www.dianthus.com.tw/mc/ugC_NewMedicine3_Detail.asp?hidMedicineID=144
假性腹腔積氣：一病例報告徐兆甸吳健樑1 朱正心陳銘仁張文熊 ...,http://www.tsim.org.tw/journal/jour15-6/P15_263.PDF
樂生婦幼醫院-醫學新知:微創手術-腹腔鏡,http://www.happybirth.com.tw/MedicalKnowledge-%E5%BE%AE%E5%89%B5%E6%89%8B%E8%A1%93.html
