Title,url
視網膜色素上皮- 維基百科，自由的百科全書 - Wikipedia,https://zh.wikipedia.org/zh-tw/%E8%A7%86%E7%BD%91%E8%86%9C%E8%89%B2%E7%B4%A0%E4%B8%8A%E7%9A%AE
再生你的視力—— 視網膜色素上皮(retinal pigment epithelium ...,https://investigator.tw/3200/%E5%86%8D%E7%94%9F%E4%BD%A0%E7%9A%84%E8%A6%96%E5%8A%9B-%E8%A6%96%E7%B6%B2%E8%86%9C%E8%89%B2%E7%B4%A0%E4%B8%8A%E7%9A%AE/
"視網膜色素上皮(Retinal Pigment Epidermis, RPE) - 小小整理 ...",https://smallcollation.blogspot.com/2013/06/retinal-pigment-epidermis-rpe.html
中華民國視網膜色素病變協會,http://www.rptw.org/a000.php
氧化壓力誘導Musashi-1 斷裂造成視網膜色素上皮細胞變性,https://ir.nctu.edu.tw/handle/11536/141791
黃斑部病變,http://nobelgroup.com.tw/lasikeye/lookbook/08.htm
人類正常初代視網膜色素上皮細胞|Human Primary Retinal ...,http://biopioneer.com.tw/?p=8320
永生化人視網膜色素上皮細胞| Immortalized Human Retinal ...,http://biopioneer.com.tw/?p=21654
人類視網膜色素上皮細胞 - 政府研究資訊系統GRB,https://www.grb.gov.tw/search;keyword=%E4%BA%BA%E9%A1%9E%E8%A6%96%E7%B6%B2%E8%86%9C%E8%89%B2%E7%B4%A0%E4%B8%8A%E7%9A%AE%E7%B4%B0%E8%83%9E;type=GRB05;scope=1
魚油可保護眼睛免於視網膜退化性疾病 - 【罕見遺傳疾病一點通】,http://web.tfrd.org.tw/genehelp/database/disease/RP_news4.html
蔓越莓汁對人類的視網膜色素上皮細胞受藍光破壞的光保護作用 ...,http://web.csh.org.tw/web/csh/?p=4433
视网膜色素上皮细胞的生理功能及其参与的病变 - 国际眼科杂志,http://ies.ijo.cn/cn_publish/2015/7/201507017.pdf
Airiti Library華藝線上圖書館_視網膜色素上皮細胞肥厚在家族 ...,http://www.airitilibrary.com/Publication/alDetailedMesh?docid=10213120-199206-31-2-194-198-a
1 有關視網膜色素上皮（retinal pigment epithelium）和..-阿摩 ...,https://yamol.tw/item-1+%E6%9C%89%E9%97%9C%E8%A6%96%E7%B6%B2%E8%86%9C%E8%89%B2%E7%B4%A0%E4%B8%8A%E7%9A%AE%EF%BC%88retinal+pigment+epithelium%EF%BC%89%E5%92%8C..-1846756.htm
基因分子診斷實驗室- 遺傳性視網膜失養症,https://www.ntuh.gov.tw/gene-lab-mollab/Fpage.action?muid=4052&fid=3870
博碩士論文行動網 - 全國博碩士論文資訊網,https://ndltd.ncl.edu.tw/cgi-bin/gs32/gsweb.cgi/login?o=dnclcdr&s=id=%22104CSMU5108007%22.&searchmode=basic
博碩士論文行動網 - 全國博碩士論文資訊網,https://ndltd.ncl.edu.tw/cgi-bin/gs32/gsweb.cgi/login?o=dnclcdr&s=id=%22099YM005603015%22.&searchmode=basic
Benzyl alcohol對視網膜色素上皮細胞之細胞毒性—玻璃體內 ...,https://researchoutput.ncku.edu.tw/zh/projects/benzyl-alcohol%E5%B0%8D%E8%A6%96%E7%B6%B2%E8%86%9C%E8%89%B2%E7%B4%A0%E4%B8%8A%E7%9A%AE%E7%B4%B0%E8%83%9E%E4%B9%8B%E7%B4%B0%E8%83%9E%E6%AF%92%E6%80%A7%E7%8E%BB%E7%92%83%E9%AB%94%E5%85%A7%E4%BD%BF%E7%94%A8triamcinolone%E4%B9%8B%E5%90%AB%E6%84%8F-3
视网膜色素上皮_百度百科,https://baike.baidu.com/item/%E8%A7%86%E7%BD%91%E8%86%9C%E8%89%B2%E7%B4%A0%E4%B8%8A%E7%9A%AE/967452
幾丁寡醣對藍光LED造成視網膜色素上皮細胞傷害的保護作用 ...,https://www.ntsec.edu.tw/Science-Content.aspx?cat=&a=0&fld=&key=&isd=1&icop=10&p=44&sid=13136
年龄相关性黄斑变性中视网膜色素上皮细胞的DNA损伤 - 眼科,http://www.j-bio.net/CN/abstract/abstract695.shtml
CN102258808A - 促视网膜色素上皮细胞扩增的水凝胶细胞 ...,https://www.google.com/patents/CN102258808A?cl=zh
綠原酸對視網膜色素上皮細胞氧化損傷保護作用的實驗研究 ...,http://cnki.sris.com.tw/KCMS/detail/detail.aspx?filename=1014053754.nh&dbcode=CMFD&dbname=CMFD2015
視網膜 - 彰化基督教醫院眼科,http://www2.cch.org.tw/oph/retina.aspx
NeuroD誘導視網膜色素上皮細胞轉分化為類視網膜細胞- 月旦 ...,http://lawdata.com.tw/tw/detail.aspx?no=401616
CN103656742B - 功能化视网膜色素上皮细胞移植片的制备 ...,https://google.com/patents/CN103656742B?cl=pt-PT
转化生长因子-β诱导视网膜色素上皮细胞增殖中NLRP3炎症小 ...,http://dx.doi.org/10.13389/j.cnki.rao.2019.0048
兔視網膜色素上皮細胞培養、純化和鑒定- 中國重要會議論文 ...,http://big5.oversea.cnki.net/KCMS/detail/detail.aspx?filename=ZHYX200708001B16&dbcode=CPFD&dbname=CPFD2008
視網膜剝離(Retinal Detachment)_眼科_成人常見疾病_健康 ...,http://www.kenkon.com.tw/health.php?act=view&id=250
CN105849254A - 用于纯化视网膜色素上皮细胞的方法- Google ...,https://patents.google.com/patent/CN105849254A/zh
