Title,url
韌帶- 維基百科，自由的百科全書 - Wikipedia,https://zh.wikipedia.org/zh-tw/%E9%9F%A7%E5%B8%A6
腳踝扭傷後韌帶鬆掉會怎樣嗎？ (by 郭仕政物理治療師) | 好痛痛 ...,https://blog.easepain.tw/kuo-shih-cheng/ankle-ligaments/
連接骨頭少不了它！韌帶的作用與保護- Hello醫師,https://helloyishi.com.tw/healthy-living/fitness/what-is-ligaments/
腳踝韌帶扭傷難痊癒，埋下病根恐拖累膝髖腰頸，增生療法修復 ...,https://www.elite-r.com.tw/index.php/zh-tw/guardian-articles/311-ankle-ligament-sprain-drag-knee-hip-waist-neck
啪！十字韌帶(ACL)斷了！怎麼辦？ - 骨哥論壇,https://bonebro.com/acl-tear-what-to-do/
線上診療室-- 膝關節韌帶傷害,https://www.ym.edu.tw/smc/html/sport7-4.htm
別在治療的十字路口徬徨--淺談前十字韌帶運動傷害,http://www.kmuh.org.tw/www/kmcj/data/10007/13.htm
後十字韌帶術後物理治療 - 亞東紀念醫院｜社會工作室,http://depart.femh.org.tw/reh/%E5%BE%8C%E5%8D%81%E5%AD%97%E9%9F%8C%E5%B8%B6%E8%A1%93%E5%BE%8C%E7%89%A9%E7%90%86%E6%B2%BB%E7%99%82.pdf
膝關節韌帶受傷| 醫學影像學習園地 - 中國醫藥大學,http://www2.cmu.edu.tw/~cmcmd/ctanatomy/clinical/kneeligamentinjury.html
膝部韌帶受損須知- 亞洲大學附屬醫院,https://www.auh.org.tw/NewsInfo/HealthEducationInfo?docid=374
膝關節側韌帶裂傷(Collateral ligament tear),https://www.mil.mohw.gov.tw/public/news/handouts/b3e71af50457506e574a115ccacd33b5.pdf
韌帶- 康健雜誌,https://www.commonhealth.com.tw/search?keyword=%E9%9F%8C%E5%B8%B6
十字韌帶撕裂傷運動篇- YouTube,https://www.youtube.com/watch?v=tgFcCsM7GWA
十字韌帶術後復健知多少? - YouTube,https://www.youtube.com/watch?v=hH3kdccIlVA
十字韌帶撕裂傷治療篇- YouTube,https://www.youtube.com/watch?v=29cYE1PFVxk
膝部前十字韌帶扭傷,https://www.tmuh.org.tw/UploadFile/files/032%E8%86%9D%E9%83%A8%E5%89%8D%E5%8D%81%E5%AD%97%E9%9F%8C%E5%B8%B6%E6%89%AD%E5%82%B7(%E8%B6%85%E9%80%A3%E7%B5%90).pdf
靈活運動的關鍵：肌腱與韌帶 - 健康刊物| 全民健康基金會,https://www.twhealth.org.tw/journalView.php?cat=5&sid=84&page=1
前十字韌帶斷裂- 長庚紀念醫院,http://www.chang-gung.com/news-1.aspx?rows=8&page=1&type=Photo&id=2020032611072000476&mid=45&bid=3
前十字韌帶斷裂,https://www.cgmh.org.tw/cgmn/cgmn_file/1703167.pdf
可怕的前十字韌帶斷裂!! 膝關節運動傷害特輯| 三分鐘聊醫學 ...,https://www.youtube.com/watch?v=058-wOOZFTU
膝韌帶損傷 - 力邁物理治療所,http://painless.idv.tw/sportinjury/31.html
骨科線上- 認識前十字韌帶斷裂：原因、症狀及急性處理,https://sites.google.com/view/bonenews/%E9%81%8B%E5%8B%95%E9%86%AB%E5%AD%B8/%E8%AA%8D%E8%AD%98%E5%89%8D%E5%8D%81%E5%AD%97%E9%9F%8C%E5%B8%B6%E6%96%B7%E8%A3%82%E5%8E%9F%E5%9B%A0%E7%97%87%E7%8B%80%E5%8F%8A%E6%80%A5%E6%80%A7%E8%99%95%E7%90%86
前十字韌帶斷裂怎麼辦？,http://web.csh.org.tw/web/csh_sdm/wp-content/uploads/2019/06/080.pdf
認識膝後十字韌帶的斷裂 - 萬芳醫院,http://www1.wanfang.gov.tw/w402008web_new/subject/download/3100/%E8%AA%8D%E8%AD%98%E8%86%9D%E5%BE%8C%E5%8D%81%E5%AD%97%E9%9F%8C%E5%B8%B6%E6%96%B7%E8%A3%82.HTM
前十字韌帶損傷 - 高雄榮民總醫院,https://org.vghks.gov.tw/reh/News_Content.aspx?n=99FDC122E8168ADD&sms=1BE761BDBCE7C913&s=70E1EFD119A892F4
膝蓋啪一聲--談『前十字韌帶損傷』 Anterior Cruciate Ligament ...,https://it-it.facebook.com/notes/%E9%AA%A8%E5%8A%9B%E8%A8%BA%E6%89%80/%E8%86%9D%E8%93%8B%E5%95%AA%E4%B8%80%E8%81%B2-%E8%AB%87%E5%89%8D%E5%8D%81%E5%AD%97%E9%9F%8C%E5%B8%B6%E6%90%8D%E5%82%B7-anterior-cruciate-ligament-injury/425625674435974/
膝部前十字韌帶損傷 - 馬偕紀念醫院,http://www.mmh.org.tw/taitam/ortho/index4_1_18.html
比較手術或保守介入用於治療前十字韌帶損傷| Cochrane,https://www.cochrane.org/zh-hant/CD011166/MUSKINJ_bi-jiao-shou-shu-huo-bao-shou-jie-ru-yong-yu-zhi-liao-qian-shi-zi-ren-dai-sun-shang
前十字韌帶斷裂 - 瀚群骨科醫療中心,http://www.bonecare.com.tw/knowledge/content.php?id=26
